strength_percent,turbulence_strength,psnr_single,ssim_single,psnr_seven,ssim_seven
50,0.5,23.299064,0.848514,23.831587,0.863411
55,0.55,24.229634,0.869547,25.119061,0.889906
60,0.6,25.116325,0.887178,26.604572,0.914462
65,0.65,25.762615,0.898752,28.150096,0.934519
70,0.7,25.869441,0.900297,29.237498,0.945979
75,0.75,25.268695,0.886362,28.990389,0.942874
80,0.8,24.128527,0.850463,27.399049,0.917162
85,0.85,22.759442,0.78587,25.395812,0.860031
90,0.9,21.383356,0.688954,23.496644,0.764942
95,0.95,20.102179,0.562549,21.821909,0.632463
100,1.0,18.941284,0.417077,20.368315,0.473462
