strength_percent,turbulence_strength,psnr_single,ssim_single,psnr_seven,ssim_seven
50,0.5,28.69528,0.942098,32.352126,0.971447
55,0.55,27.613775,0.925448,31.856842,0.967747
60,0.6,26.554181,0.90413,31.357571,0.963559
65,0.65,25.531917,0.877322,30.843477,0.958787
70,0.7,24.550301,0.843871,30.301353,0.953014
75,0.75,23.602772,0.802272,29.686422,0.945144
80,0.8,22.690342,0.750989,28.888802,0.932566
85,0.85,21.804148,0.687929,27.714739,0.909249
90,0.9,20.942025,0.611787,25.893232,0.859279
95,0.95,20.108741,0.52289,23.213657,0.737624
100,1.0,19.332067,0.42573,20.233095,0.480015
